Bill No.,Representative Caldier (R-26),Representative Callan (D-5),Representative Chambers (R-25),Representative Chandler (R-15),Representative Chapman (D-24),Representative Cheney (R-18),Representative Chopp (D-43),Representative Christian (R-4),Representative Connors (R-8),Representative Corry (R-14),Representative Alvarado (D-34),Representative Cortes (D-38),Representative Couture (R-35),Representative Davis (D-32),Representative Dent (R-13),Representative Doglio (D-22),Representative Donaghy (D-44),Representative Duerr (D-1),Representative Dye (R-9),Representative Entenman (D-47),Representative Eslick (R-39),Representative Abbarno (R-20),Representative Farivar (D-46),Representative Fey (D-27),Representative Fitzgibbon (D-34),Representative Fosse (D-38),Representative Goehner (R-12),Representative Goodman (D-45),Representative Graham (R-6),Representative Gregerson (D-33),Representative Griffey (R-35),Representative Hackney (D-11),Representative Barkis (R-2),Representative Harris (R-17),Representative Hutchins (R-26),Representative Jacobsen (R-25),Mme. Speaker (D - 27),Representative Klicker (R-16),Representative Kloba (D-1),Representative Kretz (R-7),Representative Leavitt (D-28),Representative Lekanoff (D-40),Representative Low (R-39),Representative Barnard (R-8),Representative Macri (D-43),Representative Bateman (D-22),Representative Berg (D-44),Representative Bergquist (D-11),Representative Berry (D-36),Representative Bronoske (D-28)
HB 1772,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SSB 5127,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
SHB 1207,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0
SHB 1326,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2SHB 1550,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0
SHB 1435,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SB 5330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SB 5350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SHB 1103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HB 1527,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
HB 1564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HB 1030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SSB 5256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SHB 1247,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
ESHB 1050,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
HB 1114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HB 1197,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0
